id,date,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11
tipoffstarchpartly,2021-04-26,21,1,21,0,169,1,0,70,8887.839426661738,301.0,6992,53,32.0,1.5,3.0,2.5,2.5,4.0,2.0,2.0,1.5,2.0,,3.0,,3.5,,1.0,,,,1.5,1.0
tipoffstarchpartly,2021-04-27,0,1,27,0,205,0,0,88,8676.82175304786,470.0,10116,30,20.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,1.75,2.2857142857142856
tipoffstarchpartly,2021-04-28,0,0,22,0,161,0,0,73,7895.926040027151,413.0,4413,22,24.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,,
tipoffstarchpartly,2021-04-29,0,0,11,0,168,0,0,138,8284.533812700547,354.0,9212,30,30.0,1.0,3.0,2.0,3.0,3.5,2.0,1.5,1.5,1.0,,4.0,,,5.0,,1.0,,1.0,1.75,
tipoffstarchpartly,2021-04-30,39,1,32,0,181,9,0,144,9599.989121402525,519.0,10048,51,19.0,1.0769230769230769,2.3846153846153846,2.230769230769231,2.1538461538461537,3.3846153846153846,1.7692307692307692,1.3076923076923077,1.5384615384615385,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-05-01,0,0,16,0,188,0,0,74,8100.615249181171,425.0,8302,30,12.0,1.1428571428571428,1.9285714285714286,2.642857142857143,1.8571428571428572,3.2142857142857144,2.0714285714285716,1.3571428571428572,1.2142857142857142,1.0714285714285714,,,,,,,,,,,
tipoffstarchpartly,2021-05-02,64,0,61,0,222,1,0,127,9823.626797487235,513.0,13483,55,31.0,1.1428571428571428,2.7857142857142856,1.7857142857142858,2.4285714285714284,3.2142857142857144,1.7857142857142858,1.0714285714285714,1.1428571428571428,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-05-03,0,0,16,0,123,0,0,78,6900.5203086923975,479.0,7477,33,17.0,1.0,2.5833333333333335,1.5,2.75,3.1666666666666665,1.9166666666666667,1.1666666666666667,1.4166666666666667,1.1666666666666667,,,,,,,,,,,
tipoffstarchpartly,2021-05-04,0,0,11,0,178,0,0,72,9414.952135623316,270.0,9285,31,24.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,,,1.0,,,,1.75,,,1.0,
tipoffstarchpartly,2021-05-05,0,0,26,0,151,0,0,106,7751.25701100258,311.0,11201,40,38.0,,,,,,,,,,2.0,4.5,,,,,1.0,,1.0,2.0,
tipoffstarchpartly,2021-05-06,15,0,44,0,220,4,0,142,8786.191021902563,423.0,10755,32,20.0,1.0,3.0,2.5,2.0,3.0,2.0,2.0,1.5,1.0,1.0,,1.8571428571428572,,,,1.0,,1.0,1.0,
tipoffstarchpartly,2021-05-07,0,0,53,0,154,0,0,93,10102.234885160213,534.0,6033,39,26.0,,,,,,,,,,1.0,,,,,,,4.25,,,1.75
tipoffstarchpartly,2021-05-08,39,0,43,0,198,2,0,138,9055.539593320758,551.0,6257,41,14.0,2.0,2.5,1.5,2.0,3.0,3.0,2.0,2.5,1.0,,,1.0,2.5,,,,4.0,,2.5,4.0
tipoffstarchpartly,2021-05-09,8,0,46,0,233,0,0,207,10722.927458252934,290.0,13810,51,,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,1.0,,,,,4.25,,4.0,
tipoffstarchpartly,2021-05-10,13,0,43,0,255,3,0,127,9551.367314434436,378.0,9147,25,23.0,,,,,,,,,,1.0,,1.4285714285714286,,,,,,1.0,,
tipoffstarchpartly,2021-05-11,0,0,11,0,166,0,0,96,8515.528414473925,451.0,6736,22,36.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,,,,2.5,,,4.0,,1.0,2.5,
tipoffstarchpartly,2021-05-12,52,0,62,0,164,11,0,154,12437.386744136918,498.0,12380,61,18.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,,4.5,,2.2,5.0,,1.0,3.3333333333333335,,4.0,
tipoffstarchpartly,2021-05-13,0,0,13,0,199,0,0,153,8450.877548240825,278.0,14144,36,22.0,1.0,2.2142857142857144,2.0,2.0714285714285716,3.4285714285714284,2.0714285714285716,1.2857142857142858,1.2857142857142858,1.2857142857142858,,5.0,,,,,,5.0,,,
tipoffstarchpartly,2021-05-14,0,0,12,0,116,0,0,68,7186.43935635932,524.0,10819,41,25.0,1.0,3.0,1.4,2.7,3.4,1.7,1.1,1.1,1.0,,,,,,,,,,,
tipoffstarchpartly,2021-05-15,0,0,21,0,166,0,0,105,6041.385978329161,422.0,16018,49,17.0,1.0,2.75,1.5833333333333333,2.4166666666666665,3.9166666666666665,1.5833333333333333,1.0,1.0,1.1666666666666667,,,,,,,,,,,
tipoffstarchpartly,2021-05-16,61,0,38,0,256,8,0,151,11440.67945939722,358.0,9966,64,32.0,1.0,3.0,1.5833333333333333,2.6666666666666665,3.8333333333333335,1.5,1.25,1.0833333333333333,1.1666666666666667,,,,,,,,,,,
tipoffstarchpartly,2021-05-17,17,0,31,0,183,2,0,125,8076.975873130375,384.0,8066,50,24.0,,,,,,,,,,,,1.75,,,,,4.0,,1.0,3.0
tipoffstarchpartly,2021-05-18,0,0,22,0,229,0,0,138,10463.89912539134,436.0,12409,57,21.0,1.5,2.5,2.5,1.5,3.5,2.5,2.0,1.5,1.0,1.0,3.8,,,5.0,,,4.333333333333333,,1.0,3.25
tipoffstarchpartly,2021-05-19,41,0,53,0,220,7,0,128,10248.46491441842,397.0,10047,62,21.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.5,,,,,,,,1.0,,
tipoffstarchpartly,2021-05-20,30,0,53,0,228,7,0,232,11736.578839733083,419.0,14608,59,15.0,,,,,,,,,,,,,,1.0,,,,,2.2,
tipoffstarchpartly,2021-05-21,0,0,25,0,223,0,0,157,10110.54962470494,496.0,5975,28,13.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,,,3.3333333333333335,1.6,,,2.5,4.0,,,
tipoffstarchpartly,2021-05-22,10,0,54,0,260,2,0,180,11110.647574497303,305.0,11655,52,28.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,,,,,,,,4.666666666666667,,,4.0
tipoffstarchpartly,2021-05-23,61,0,116,0,234,1,0,191,6613.919641332653,149.0,8699,82,25.0,1.0,3.0,2.0,3.5,3.0,2.5,2.0,1.5,2.5,,,1.0,3.0,,,,,,,
tipoffstarchpartly,2021-05-24,97,1,137,0,251,13,0,285,17913.38202204597,361.0,13149,108,20.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,,3.6,2.0,,4.5,,,,,,1.75
tipoffstarchpartly,2021-05-25,125,1,79,0,261,6,0,295,15158.648121559714,316.0,10715,93,18.0,1.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,2.2,,,,,,,,,1.0,
tipoffstarchpartly,2021-05-26,52,0,105,0,285,17,0,332,14790.255928456492,356.0,19498,138,18.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,,,4.0,3.0,1.0,,1.0,,1.0,,2.5
tipoffstarchpartly,2021-05-27,43,0,49,0,401,5,0,231,14114.101395823054,397.0,15579,91,33.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,,,,,4.0,,,,1.0,,1.0
