subject_id,watch_data_completeness,watch_total_minutes,phone_ema_response_rate,watch_ema_response_rate,total_emas,days_with_phone_data,phone_usage_events,data_quality_score
feistydaycarelung@timestudy_com,0.0,0,14.886967392436713,57.30828407158475,21948,390.0,986943,21.65857543920644
ferretremovalwistful@timestudy_com,0.0,0,1.2345679012345678,0.0,81,2.0,2005,0.37037037037037035
flapwakinghandshake@timestudy_com,0.0,0,23.076923076923077,0.0,104,0.0,0,6.9230769230769225
fleshunmailisoaurore@timestudy_com,0.0,0,13.633217993079585,0.0,1445,48.0,155343,4.0899653979238755
floggingnicknamecondone@timestudy_com,0.0,0,16.30901287553648,0.0,233,11.0,44332,4.8927038626609445
fracturerepurposealgebra@timestudy_com,0.0,0,21.13128319130542,90.47619047619048,18849,367.0,418435,33.48224210024877
freightbrisklypopulace@timestudy_com,0.0,0,15.558745583038869,67.54283663766036,20203,369.0,969603,24.930474666209765
gammahuffrigging@timestudy_com,0.0,0,21.096743295019156,92.30886037506643,21523,225.0,454580,34.02168110102568
genderradiantlycharging@timestudy_com,0.0,0,24.07583942378985,91.32441162898016,24610,367.0,1862205,34.620075315831
generouswidthcoasting@timestudy_com,0.0,0,18.773946360153257,78.17086940158073,5006,100.0,217051,29.083444728520195
gentlykittenthaw@timestudy_com,0.0,0,20.48526125359157,93.8017955801105,20981,363.0,390343,34.28611705011062
giftdeliriousgloomy@timestudy_com,0.0,0,18.665768194070083,87.64135702746366,2722,68.0,53405,31.89213756646012
gorydrainpipenearness@timestudy_com,0.0,0,11.251607372481782,65.19267214150346,6249,151.0,927226,22.933283854195572
grapethumpingtwenty@timestudy_com,0.0,0,17.880055788005578,81.2836970474968,22440,344.0,1204768,29.749125850650714
gripgrudgingenactment@timestudy_com,0.0,0,11.29032258064516,0.0,62,0.0,0,3.387096774193548
groinunratedbattery@timestudy_com,0.0,0,29.45749255706252,90.28195335987648,18353,359.0,1769053,35.9218337750817
grudgehandballcampfire@timestudy_com,0.0,0,23.004493901134175,76.07678220172285,24089,368.0,1031851,29.724382830857106
